phase,iter,step,train_total,train_pde,train_high_bc,test_total,test_pde,test_high_bc,block_loss_before,block_loss_after,block_delta_weights,block_finite,block_num_steps
adam,196,196,0.03908821022721324,,,nan,,,,,,,
adam,197,197,0.03900154680875553,,,nan,,,,,,,
adam,198,198,0.03891762914811536,,,nan,,,,,,,
adam,199,199,0.03883636011448246,,,nan,,,,,,,
adam,200,200,0.03875764997104885,,,0.0483464562332939,,,,,,,
adam,201,201,0.038681415719061946,,,nan,,,,,,,
adam,202,202,0.038607580065482525,,,nan,,,,,,,
adam,203,203,0.03853607045908609,,,nan,,,,,,,
adam,204,204,0.038466818439271896,,,nan,,,,,,,
adam,205,205,0.03839975911595388,,,nan,,,,,,,
adam,206,206,0.0383348304721779,,,nan,,,,,,,
adam,207,207,0.038271972459955894,,,nan,,,,,,,
adam,208,208,0.03821112616202044,,,nan,,,,,,,
adam,209,209,0.03815223325810363,,,nan,,,,,,,
adam,210,210,0.03809523574686822,,,nan,,,,,,,
adam,211,211,0.038040075702507996,,,nan,,,,,,,
adam,212,212,0.03798669496692195,,,nan,,,,,,,
adam,213,213,0.037935034896546475,,,nan,,,,,,,
adam,214,214,0.03788503631406725,,,nan,,,,,,,
adam,215,215,0.03783663964552711,,,nan,,,,,,,
adam,216,216,0.037789785087811945,,,nan,,,,,,,
adam,217,217,0.03774441271126713,,,nan,,,,,,,
adam,218,218,0.03770046255581155,,,nan,,,,,,,
adam,219,219,0.037657874823452536,,,nan,,,,,,,
adam,220,220,0.037616590166808184,,,nan,,,,,,,
adam,221,221,0.03757654997294567,,,nan,,,,,,,
adam,222,222,0.037537696569711294,,,nan,,,,,,,
adam,223,223,0.03749997338380772,,,nan,,,,,,,
adam,224,224,0.037463325117124795,,,nan,,,,,,,
adam,225,225,0.03742769794502322,,,nan,,,,,,,
adam,226,226,0.037393039675818265,,,nan,,,,,,,
adam,227,227,0.03735929983071959,,,nan,,,,,,,
adam,228,228,0.03732642967210173,,,nan,,,,,,,
adam,229,229,0.037294382231124745,,,nan,,,,,,,
adam,230,230,0.03726311234173015,,,nan,,,,,,,
adam,231,231,0.03723257664550826,,,nan,,,,,,,
adam,232,232,0.03720273354680763,,,nan,,,,,,,
adam,233,233,0.037173543141439946,,,nan,,,,,,,
adam,234,234,0.037144967152897695,,,nan,,,,,,,
adam,235,235,0.037116968878565665,,,nan,,,,,,,
adam,236,236,0.03708951312369439,,,nan,,,,,,,
adam,237,237,0.037062566114977234,,,nan,,,,,,,
adam,238,238,0.037036095413054144,,,nan,,,,,,,
adam,239,239,0.037010069844173876,,,nan,,,,,,,
adam,240,240,0.03698445944752668,,,nan,,,,,,,
adam,241,241,0.03695923542152279,,,nan,,,,,,,
adam,242,242,0.036934370065027734,,,nan,,,,,,,
adam,243,243,0.036909836725972596,,,nan,,,,,,,
adam,244,244,0.0368856097662133,,,nan,,,,,,,
adam,245,245,0.03686166453585324,,,nan,,,,,,,
adam,246,246,0.036837977345948805,,,nan,,,,,,,
adam,247,247,0.03681452543950633,,,nan,,,,,,,
adam,248,248,0.036791286968813765,,,nan,,,,,,,
adam,249,249,0.03676824098115334,,,nan,,,,,,,
adam,250,250,0.0367453674053297,,,nan,,,,,,,
adam,251,251,0.036722647032396284,,,nan,,,,,,,
adam,252,252,0.03670006149266287,,,nan,,,,,,,
adam,253,253,0.03667759323431399,,,nan,,,,,,,
